label,palm_cx_norm,palm_cy_norm,palm_angle,tip0_d,tip0_a,tip1_d,tip1_a,tip2_d,tip2_a,tip3_d,tip3_a,tip4_d,tip4_a,ang_vel,contour_area_norm,solidity,aspect_ratio,circularity,num_real_tips,angular_spread,thumb_angle_rel,hand_scale_norm,tip_dx_norm,tip_dy_norm,tip_speed_norm,tip_dir_angle,tip_path_len_norm
play,0.6927891817245576,0.5502458935388904,2.1497640856687052,0.6855961084365845,1.948530369520781,0.7450167536735535,-2.238932715201625,1.0,-1.9728518717829433,0.5504966974258423,-0.6571837019122557,0.5523455739021301,0.3200667708660121,0.0,0.017384440104166666,0.4800665198435885,1.2520325203252032,0.11520094231686508,5.0,2.09572222245718,-1.9728518717829433,0.134111909866333,0.0,0.0,0.0,0.0,0.0
play,0.6947249245390764,0.5571889106433894,1.9113798759638057,0.5481151342391968,1.6880188542088774,0.5555119514465332,-2.3233598472173367,1.0,-1.8066662784529448,0.521730363368988,-0.40474070176090615,0.590787947177887,0.5050296180967049,-2.9156096377768748,0.0166259765625,0.5246802609276285,1.51,0.15475707181152593,5.0,2.2718066057533726,-1.8066662784529448,0.12616108894348144,-0.005,-0.00625,0.008003905415534973,-2.245537281036377,0.008003905415534973
play,0.6923829253321779,0.5484113897982326,2.083366952319177,0.653948962688446,1.8940178904228624,0.6422579288482666,2.1716390746585663,1.0,-1.9576270263829358,0.5624091625213623,-0.8233679294107663,0.5303784012794495,0.37459689687378184,6.338559322932358,0.016904296875,0.44753738096264056,1.3089430894308942,0.11068515417273987,5.0,2.1539192061380845,-1.9576270263829358,0.13717665672302246,0.00375,-0.0075,0.008838834762573243,-1.1071487665176392,0.016842740178108214
play,0.6924475705449341,0.5493906837519453,2.054808411211658,0.6238217353820801,1.7467476344489086,0.5897840857505798,2.1235758875178234,0.5763064026832581,-2.372801375136616,1.0,-1.916706663862912,0.5494446754455566,0.3742626600390264,-1.0728743557948872,0.015919596354166666,0.46864069761870536,1.3839285714285714,0.11934502028581913,5.0,1.7868080445251469,-1.916706663862912,0.12977754592895507,-0.00375,-0.00625,0.007603453397750854,-2.111215829849243,0.02444619357585907
play,0.6926918334439913,0.554949439860044,1.9693763339707884,0.7216246128082275,1.9675760515714416,0.6241629719734192,-2.2737611954296844,1.0,-1.8374566861126844,0.6150356531143188,-0.5829278021692588,0.6208860874176025,0.3835031021960753,-2.687124884137147,0.017159830729166665,0.4580925483380404,1.319327731092437,0.12627853174259934,5.0,2.0418480601784603,-1.8374566861126844,0.12947147369384765,-0.00375,-0.00375,0.0025,-2.356194496154785,0.02694619357585907
play,0.6826466406908172,0.5483237256492662,2.1467508520533354,0.8177598714828491,1.9110704988766427,0.7557181715965271,2.1988488714712684,1.0,-2.1830024465304594,0.8017746210098267,-0.9089511980044089,0.6073218584060669,0.18420724698546787,5.40607669669006,0.0173876953125,0.5130877479467845,1.0384615384615385,0.12128285880254522,5.0,1.901333989177859,-2.1830024465304594,0.110205078125,-0.03,-0.02875,0.03625,-2.3774678707122803,0.06319619357585907
play,0.7100832793143186,0.5239472294247575,1.940425109760537,0.6030323505401611,1.5736503500359724,0.5724818110466003,1.85446561411114,1.0,-1.5849098466708265,0.561753511428833,0.8609541510758225,0.5944106578826904,1.1560191499311054,-6.241654305880024,0.009415690104166667,0.492591961852861,2.028169014084507,0.14796838342435215,5.0,2.84380984639762,-1.5849098466708265,0.11673299789428711,-0.00375,0.0075,0.03676360368728638,2.0344438552856445,0.09995979726314545
play,0.6948943232217919,0.5583708447798409,1.999038489034036,0.5704064965248108,2.0289603211489062,1.0,-1.891015376147001,0.5413962602615356,-0.5057055875849752,0.5593902468681335,0.14142417190420353,0.588998556137085,0.4131725087419458,1.5802580888491704,0.0163916015625,0.48499879605104745,1.4056603773584906,0.13745970228605353,5.0,2.363209609883679,-1.891015376147001,0.12732671737670898,-0.0075,0.0025,0.008003905415534973,2.8198421001434326,0.10796370267868043
play,0.6949795509172961,0.5497993584922114,1.9551265579261017,0.6235200762748718,1.8371717071728924,0.5721122026443481,-2.29063601138943,1.0,-1.804124374381986,0.5503092408180237,-0.31570555852540716,0.6695981025695801,0.3451690694649918,-1.6897401654486137,0.016590169270833333,0.5032834641781464,1.5,0.15840389238841396,5.0,2.155377588617264,-1.804124374381986,0.12544379234313965,-0.0025,0.00125,0.0025,2.677945137023926,0.11046370267868041
play,0.6858397306748182,0.5900651120065459,2.0880462595125007,0.8245412707328796,2.0957474628171697,0.7060609459877014,-2.6260946548370616,1.0,-2.194542434696847,0.8588559031486511,-1.0368922278872779,0.7739276885986328,-0.5057860591844956,4.054350554459665,0.023427734375,0.4200175080245112,0.98125,0.09294548810750376,5.0,1.5613431895253544,-2.194542434696847,0.1320764636993408,-0.0025,-0.01,0.00875,-1.8157750368118286,0.11921370267868042
